{'qa_correct': array([False, False]), 'suff_info_correct': array([ True,  True]), 'cumulative_rewards_mean': 6.166666666666666}
{'qa_correct': array([False, False]), 'suff_info_correct': array([ True, False]), 'cumulative_rewards_mean': 7.291666666666667}
{'qa_correct': array([False, False]), 'suff_info_correct': array([ True,  True]), 'cumulative_rewards_mean': 4.375}
{'qa_correct': array([False,  True]), 'suff_info_correct': array([ True,  True]), 'cumulative_rewards_mean': 12.535714285714285}
{'qa_correct': array([False,  True]), 'suff_info_correct': array([False,  True]), 'cumulative_rewards_mean': 10.833333333333332}
{'qa_correct': array([False,  True]), 'suff_info_correct': array([False,  True]), 'cumulative_rewards_mean': 7.9}
{'qa_correct': array([ True,  True]), 'suff_info_correct': array([ True,  True]), 'cumulative_rewards_mean': 19.05357142857143}
{'qa_correct': array([False,  True]), 'suff_info_correct': array([ True,  True]), 'cumulative_rewards_mean': 19.754433497536944}
{'qa_correct': array([False, False]), 'suff_info_correct': array([ True, False]), 'cumulative_rewards_mean': 10.222222222222221}
{'qa_correct': array([False,  True]), 'suff_info_correct': array([False, False]), 'cumulative_rewards_mean': 13.0}
{'qa_correct': array([ True,  True]), 'suff_info_correct': array([False,  True]), 'cumulative_rewards_mean': 13.9375}
{'qa_correct': array([ True, False]), 'suff_info_correct': array([ True,  True]), 'cumulative_rewards_mean': 10.805555555555555}
{'qa_correct': array([False,  True]), 'suff_info_correct': array([ True,  True]), 'cumulative_rewards_mean': 14.722222222222221}
{'qa_correct': array([ True,  True]), 'suff_info_correct': array([False,  True]), 'cumulative_rewards_mean': 19.27027027027027}
{'qa_correct': array([ True,  True]), 'suff_info_correct': array([False, False]), 'cumulative_rewards_mean': 15.5}
{'qa_correct': array([ True, False]), 'suff_info_correct': array([ True,  True]), 'cumulative_rewards_mean': 9.1875}
{'qa_correct': array([False, False]), 'suff_info_correct': array([False,  True]), 'cumulative_rewards_mean': 11.0}
{'qa_correct': array([ True,  True]), 'suff_info_correct': array([False, False]), 'cumulative_rewards_mean': 16.0}
{'qa_correct': array([ True, False]), 'suff_info_correct': array([ True,  True]), 'cumulative_rewards_mean': 13.266666666666666}
{'qa_correct': array([ True,  True]), 'suff_info_correct': array([False, False]), 'cumulative_rewards_mean': 14.5}
{'qa_correct': array([ True,  True]), 'suff_info_correct': array([False,  True]), 'cumulative_rewards_mean': 12.0}
{'qa_correct': array([ True, False]), 'suff_info_correct': array([ True, False]), 'cumulative_rewards_mean': 11.26086956521739}
{'qa_correct': array([ True,  True]), 'suff_info_correct': array([ True, False]), 'cumulative_rewards_mean': 20.67948717948718}
{'qa_correct': array([False,  True]), 'suff_info_correct': array([False, False]), 'cumulative_rewards_mean': 8.75}
{'qa_correct': array([ True,  True]), 'suff_info_correct': array([ True, False]), 'cumulative_rewards_mean': 18.258064516129032}
{'qa_correct': array([False,  True]), 'suff_info_correct': array([ True, False]), 'cumulative_rewards_mean': 16.19318181818182}
{'qa_correct': array([False, False]), 'suff_info_correct': array([False, False]), 'cumulative_rewards_mean': 11.75}
{'qa_correct': array([False,  True]), 'suff_info_correct': array([False,  True]), 'cumulative_rewards_mean': 10.527777777777779}
{'qa_correct': array([False, False]), 'suff_info_correct': array([False,  True]), 'cumulative_rewards_mean': 12.975}
{'qa_correct': array([ True, False]), 'suff_info_correct': array([False,  True]), 'cumulative_rewards_mean': 13.016666666666666}
{'qa_correct': array([ True, False]), 'suff_info_correct': array([ True,  True]), 'cumulative_rewards_mean': 10.363157894736842}
